tweet_id,rating_numerator,rating_denominator,favorite_count,retweet_count,p_dog_breed,dog_type
876120275196170240,13,10,27657,4666,Bernese Mountain Dog,
875747767867523072,13,10,24964,4265,Labrador Retriever,
875144289856114688,13,10,21733,4901,Siberian Husky,
875021211251597312,12,10,25240,4693,West Highland White Terrier,
874680097055178752,12,10,27599,4626,Labrador Retriever,
874296783580663808,13,10,25846,4094,Cocker Spaniel,Pupper
874057562936811520,12,10,22460,3943,Flat Coated Retriever,
874012996292530176,13,10,34343,10404,Cardigan,Puppo
873580283840344065,13,10,24041,3941,Newfoundland,
873213775632977920,12,10,7189,1586,Vizsla,Pupper
872967104147763200,12,10,27191,5396,Labrador Retriever,Doggo
872820683541237760,13,10,14609,3695,Pug,
872620804844003328,13,10,20645,3697,Cocker Spaniel,
872486979161796608,12,10,40418,9008,Pembroke,
872261713294495745,13,10,34006,6334,Labrador Retriever,
872122724285648897,12,10,34284,8125,Pug,
871879754684805121,13,10,37835,11211,Shetland Sheepdog,
871762521631449091,12,10,20187,3481,Labrador Retriever,Pupper
871515927908634625,12,10,20125,3460,Komondor,Doggo
871032628920680449,13,10,22574,3824,Kelpie,
870656317836468226,13,10,12384,2660,Pembroke,
870374049280663552,13,10,82502,26363,Golden Retriever,
870308999962521604,13,10,21772,4178,Greater Swiss Mountain Dog,
869772420881756160,13,10,42354,10104,Pembroke,
869702957897576449,13,10,28229,6384,Pembroke,
869596645499047938,12,10,15967,3153,Chihuahua,Doggo
869227993411051520,13,10,20434,3817,Pembroke,
868880397819494401,14,10,65724,14654,French Bulldog,
868622495443632128,13,10,27247,5847,Labrador Retriever,
868552278524837888,12,10,10164,2119,Whippet,
867900495410671616,12,10,24233,4219,Labrador Retriever,
867774946302451713,13,10,34084,7428,Border Collie,
867421006826221569,12,10,16165,2540,Eskimo Dog,Puppo
867072653475098625,13,10,0,123,Blenheim Spaniel,
867051520902168576,13,10,32360,7974,Samoyed,
866686824827068416,12,10,19427,3536,Flat Coated Retriever,
866450705531457537,13,10,122922,35817,French Bulldog,Pupper
866334964761202691,12,10,52900,14698,Samoyed,
865718153858494464,13,10,25781,5707,Golden Retriever,
865359393868664832,13,10,26662,5083,Chesapeake Bay Retriever,
865006731092295680,13,10,28222,7824,Pembroke,
864279568663928832,12,10,14741,3105,Bull Mastiff,
864197398364647424,13,10,30418,9125,Golden Retriever,
863553081350529029,13,10,15443,4261,Eskimo Dog,
863432100342583297,12,10,24051,5373,Staffordshire Bullterrier,
863079547188785154,14,10,8851,1122,Lakeland Terrier,
863062471531167744,13,10,8622,2514,French Bulldog,
862831371563274240,13,10,19375,5197,Australian Terrier,
862722525377298433,11,10,17257,3610,Basset,
862096992088072192,13,10,75483,23874,Chow,
861383897657036800,13,10,36502,10965,Cardigan,
861288531465048066,13,10,17395,4266,Bouvier Des Flandres,
861005113778896900,12,10,16931,3902,German Shepherd,
860563773140209665,13,10,7610,2216,Cardigan,
860524505164394496,13,10,23952,5417,Bedlington Terrier,
859924526012018688,12,10,19829,4216,French Bulldog,
859851578198683649,13,10,15630,3609,Labrador Retriever,
859607811541651456,13,10,18871,1614,Golden Retriever,Puppo
859196978902773760,12,10,91477,31133,Malamute,
858843525470990336,13,10,15794,3582,Golden Retriever,Doggo
858471635011153920,13,10,21869,5006,Pembroke,
858107933456039936,12,10,16004,3011,Golden Retriever,
857989990357356544,12,10,16402,2667,French Bulldog,
857746408056729600,13,10,34934,10997,Labrador Retriever,
857393404942143489,13,10,6025,1700,Malamute,
857263160327368704,13,10,20405,4684,Samoyed,
857029823797047296,12,10,19322,4152,Golden Retriever,
856543823941562368,12,10,16614,2986,Boston Bull,
856526610513747968,14,10,12086,1950,Old English Sheepdog,
856282028240666624,14,10,28326,6565,Chihuahua,
855851453814013952,13,10,46451,18443,Flat Coated Retriever,Doggo & Puppo
855459453768019968,12,10,30667,8575,Blenheim Spaniel,
854732716440526848,12,10,23452,6388,Pembroke,
854482394044301312,13,10,30122,7191,Chihuahua,
854365224396361728,13,10,19424,4904,Pembroke,
854120357044912130,14,10,32871,7852,Black And Tan Coonhound,Pupper
854010172552949760,11,10,16661,3305,English Springer,Doggo & Floofer
853760880890318849,12,10,29437,6085,Miniature Pinscher,
853639147608842240,13,10,35949,10655,German Shepherd,
852912242202992640,12,10,9347,1933,Great Dane,
852672615818899456,12,10,15409,2270,Golden Retriever,
852553447878664193,13,10,16922,3707,Bloodhound,
852189679701164033,12,10,11865,1673,Bernese Mountain Dog,
851953902622658560,13,10,0,10184,Staffordshire Bullterrier,Doggo
851591660324737024,11,10,16780,3667,Cardigan,
851224888060895234,13,10,21446,6054,Standard Poodle,
850753642995093505,11,10,32196,9834,Pug,
850380195714523136,13,10,13555,2774,Yorkshire Terrier,
850145622816686080,11,10,16953,4056,Kelpie,
850019790995546112,12,10,21255,5195,Shetland Sheepdog,Pupper
849776966551130114,12,10,31671,8068,Chihuahua,
849412302885593088,12,10,16506,3337,Schipperke,
848690551926992896,12,10,26255,4589,Flat Coated Retriever,
848324959059550208,12,10,25801,4900,Malamute,
847842811428974592,12,10,5714,1432,Bernese Mountain Dog,
847606175596138505,12,10,19592,3613,Cardigan,
847251039262605312,12,10,21346,4580,Airedale,
847157206088847362,11,10,20862,6251,Staffordshire Bullterrier,
847116187444137987,11,10,22392,3405,American Staffordshire Terrier,
846874817362120707,13,10,20995,4189,Shetland Sheepdog,
846514051647705089,13,10,46717,12420,Golden Retriever,Doggo
846153765933735936,13,10,33169,9702,Giant Schnauzer,
846042936437604353,12,10,16734,3092,Golden Retriever,
845812042753855489,13,10,30697,9366,Samoyed,
845677943972139009,12,10,26295,5121,Chow,
845397057150107648,13,10,7989,1943,Dandie Dinmont,Doggo
845306882940190720,12,10,24446,5781,Irish Water Spaniel,Pupper
844979544864018432,13,10,14281,2770,Shetland Sheepdog,
844973813909606400,12,10,15837,3443,Labrador Retriever,
844704788403113984,13,10,40614,11092,Labrador Retriever,
844223788422217728,12,10,14299,2353,Labrador Retriever,
843856843873095681,12,10,22461,4967,Labrador Retriever,
843604394117681152,11,10,17732,2956,Labrador Retriever,
843235543001513987,13,10,22563,6510,Pembroke,
842846295480000512,13,10,15978,3858,Labrador Retriever,
842765311967449089,12,10,7086,1368,Labrador Retriever,
842535590457499648,13,10,19010,3761,Pembroke,
842163532590374912,12,10,25733,6238,French Bulldog,
842115215311396866,12,10,14729,3259,Chow,
841833993020538882,13,10,0,16541,Samoyed,
841680585030541313,12,10,26953,8342,Chihuahua,
841439858740625411,14,10,13287,3951,Labrador Retriever,
841314665196081154,13,10,16666,5056,Afghan Hound,
841077006473256960,12,10,24105,5718,Brittany Spaniel,
840632337062862849,12,10,9453,1891,Golden Retriever,
840268004936019968,12,10,20317,6181,Chesapeake Bay Retriever,
839990271299457024,13,10,14160,2478,Staffordshire Bullterrier,
839549326359670784,12,10,29019,8401,Norwich Terrier,
839239871831150596,13,10,28674,7068,Leonberg,
838921590096166913,13,10,11788,2242,Border Terrier,
838561493054533637,13,10,11520,1432,Kelpie,
838476387338051585,13,10,23855,5214,Great Pyrenees,
838083903487373313,13,10,18629,3411,Chow,
837820167694528512,12,10,36114,8516,Golden Retriever,Pupper
837471256429613056,12,10,13519,2488,Norwegian Elkhound,
837366284874571778,13,10,22319,5738,American Staffordshire Terrier,
837110210464448512,13,10,16923,2596,Siberian Husky,Pupper
836989968035819520,12,10,13460,2483,Toy Poodle,
836753516572119041,12,10,20332,5004,Schipperke,Doggo
836260088725786625,13,10,22485,4652,Borzoi,
836001077879255040,13,10,20210,4657,Samoyed,
835574547218894849,11,10,18833,3939,Staffordshire Bullterrier,
835297930240217089,12,10,17358,3241,Rottweiler,
835264098648616962,12,10,8216,1848,Chesapeake Bay Retriever,
835172783151792128,12,10,27664,6241,Border Collie,
834931633769889797,12,10,11465,1793,Soft Coated Wheaten Terrier,
834786237630337024,13,10,22380,5941,Border Terrier,
834574053763584002,13,10,14508,2748,Golden Retriever,Doggo
834458053273591808,12,10,10188,1819,Rhodesian Ridgeback,
834209720923721728,12,10,21842,5210,Golden Retriever,
834086379323871233,12,10,13838,2409,Labrador Retriever,
833863086058651648,12,10,14210,2617,Kuvasz,
833826103416520705,13,10,16263,3745,Chihuahua,
833722901757046785,13,10,21914,3490,West Highland White Terrier,
833479644947025920,13,10,15753,2251,Golden Retriever,
833124694597443584,12,10,21407,5264,Cardigan,Pupper
832998151111966721,13,10,14103,2416,Boxer,Doggo
832757312314028032,13,10,17842,3949,Cardigan,
832636094638288896,12,10,16823,3044,Eskimo Dog,
832397543355072512,12,10,12681,2422,Pekinese,
832369877331693569,11,10,18185,3466,Kelpie,
832273440279240704,14,10,11997,2538,Pembroke,Doggo
832215726631055365,13,10,0,10234,Afghan Hound,
832040443403784192,12,10,0,10600,Miniature Pinscher,
832032802820481025,12,10,18930,5080,Whippet,Doggo
831939777352105988,12,10,25474,6691,Pomeranian,Doggo
831911600680497154,14,10,29382,7114,Bloodhound,
831670449226514432,13,10,11091,1980,Pembroke,
831650051525054464,13,10,7619,2117,Eskimo Dog,
831552930092285952,13,10,9567,2502,Chihuahua,
831322785565769729,12,10,9747,1664,Old English Sheepdog,Doggo
831315979191906304,13,10,6925,1216,Briard,Pupper
831309418084069378,12,10,12452,2664,Doberman,
831262627380748289,12,10,12655,2240,Cocker Spaniel,
830956169170665475,12,10,8469,1633,Kuvasz,
830583320585068544,13,10,71126,18410,Labrador Retriever,
830097400375152640,13,10,10453,3288,Toy Poodle,
829878982036299777,12,10,0,5494,Golden Retriever,Doggo
829861396166877184,12,10,13012,2138,Border Terrier,
829501995190984704,12,10,33751,11601,French Bulldog,
829449946868879360,11,10,11128,2215,Labrador Retriever,Doggo
829374341691346946,13,10,36835,10184,Staffordshire Bullterrier,Doggo
829141528400556032,12,10,26098,8109,Golden Retriever,
829011960981237760,13,10,56400,17730,Boxer,
828770345708580865,13,10,27205,6437,Chesapeake Bay Retriever,
828708714936930305,10,10,38973,12286,Mexican Hairless,
828650029636317184,14,10,10113,1473,Golden Retriever,
828409743546925057,12,10,6692,1258,Toy Poodle,
828408677031882754,12,10,8141,1404,Weimaraner,
828381636999917570,14,10,13446,2430,Bedlington Terrier,Doggo
828376505180889089,13,10,7861,1163,American Staffordshire Terrier,
828372645993398273,12,10,13339,3212,Malamute,
828011680017821696,11,10,11040,2347,American Staffordshire Terrier,
827933404142436356,12,10,21454,5718,German Shepherd,Pupper
827653905312006145,12,10,16437,3293,Collie,
827600520311402496,13,10,7890,1038,Pembroke,
827324948884643840,12,10,16925,3354,Golden Retriever,
827199976799354881,13,10,11272,2456,Great Dane,
826958653328592898,12,10,23017,5494,Golden Retriever,Doggo
826848821049180160,13,10,38908,11220,Great Pyrenees,Doggo
826598365270007810,13,10,10745,2569,French Bulldog,
826476773533745153,12,10,19638,4596,German Shepherd,Doggo
826240494070030336,11,10,14153,2833,French Bulldog,
826204788643753985,13,10,5207,1022,Labrador Retriever,Doggo
826115272272650244,13,10,16732,3438,Golden Retriever,
825829644528148480,12,10,13601,2731,Great Pyrenees,
825535076884762624,14,10,55573,18879,Rottweiler,Puppo
825147591692263424,13,10,19538,5018,Pekinese,
825026590719483904,12,10,6782,1413,Eskimo Dog,Puppo
824775126675836928,12,10,15973,3869,Border Terrier,
824663926340194305,13,10,10766,1902,English Setter,
824325613288833024,13,10,12582,11400,Pembroke,Pupper
823939628516474880,12,10,11387,2979,Schipperke,
823699002998870016,12,10,13441,2656,Cairn,
823581115634085888,11,10,13933,2905,German Shepherd,
823322678127919110,11,10,16842,4415,Chihuahua,
823269594223824897,11,10,0,10842,Samoyed,
822975315408461824,12,10,18484,3788,Pembroke,
822872901745569793,13,10,141614,48255,Lakeland Terrier,Puppo
822859134160621569,12,10,14130,2503,Malinois,
822647212903690241,13,10,0,7054,Samoyed,
822610361945911296,12,10,15801,3256,Cocker Spaniel,
822489057087389700,13,10,19422,7054,Samoyed,
822462944365645825,14,10,30515,16151,Pomeranian,Pupper
822244816520155136,11,10,37503,10842,Samoyed,
821886076407029760,13,10,12162,2578,Golden Retriever,
821813639212650496,12,10,0,3676,Saint Bernard,
821765923262631936,13,10,9020,1834,Golden Retriever,Doggo
821522889702862852,13,10,8594,1946,Doberman,
821407182352777218,14,10,12607,4793,Irish Setter,Doggo
821149554670182400,12,10,9348,2217,German Shepherd,
821107785811234820,11,10,10274,2343,Pomeranian,Doggo
821044531881721856,12,10,13569,2521,Old English Sheepdog,
820749716845686786,13,10,33807,10934,Golden Retriever,
820446719150292993,13,10,0,2848,Golden Retriever,
820314633777061888,14,10,3575,626,Gordon Setter,
819952236453363712,13,10,5704,1304,American Staffordshire Terrier,Puppo
819711362133872643,11,10,14433,3463,Toy Poodle,
819588359383371776,13,10,10255,2170,Cardigan,
819347104292290561,12,10,7743,1333,Rottweiler,
819227688460238848,12,10,24772,7368,Border Terrier,
819015337530290176,14,10,0,40421,Standard Poodle,Doggo
819004803107983360,14,10,92616,40421,Standard Poodle,Doggo
818627210458333184,13,10,23821,8213,Labrador Retriever,
818614493328580609,12,10,10582,2851,Chihuahua,
818588835076603904,11,10,0,6785,Norwegian Elkhound,Pupper
818536468981415936,11,10,11717,2736,Welsh Springer Spaniel,
818259473185828864,12,10,11827,2527,Miniature Schnauzer,
818145370475810820,11,10,13188,2871,Golden Retriever,
817827839487737858,13,10,55681,29970,Cocker Spaniel,
817777686764523521,13,10,11481,2946,Curly Coated Retriever,Doggo & Pupper
817536400337801217,12,10,12664,3346,Pug,
817423860136083457,13,10,36772,16541,Samoyed,
817415592588222464,11,10,6039,1063,Doberman,
817181837579653120,13,10,0,9399,Tibetan Mastiff,Pupper
817171292965273600,13,10,9374,2220,Golden Retriever,
817120970343411712,13,10,13071,2898,Saluki,
817056546584727552,11,10,9206,1823,Kelpie,
816829038950027264,12,10,0,5211,Golden Retriever,Puppo
816816676327063552,12,10,10732,2249,Malamute,
816697700272001025,12,10,10538,2440,Chihuahua,
816336735214911488,11,10,9242,2162,Labrador Retriever,
816091915477250048,12,10,9592,2379,Pomeranian,
816014286006976512,11,10,0,5875,English Setter,
815990720817401858,11,10,5373,1152,Chihuahua,
815966073409433600,13,10,24135,9399,Tibetan Mastiff,Pupper
815736392542261248,11,10,10578,2505,Border Collie,
815639385530101762,12,10,8834,1818,German Shepherd,
814986499976527872,11,10,8211,1431,Dalmatian,Pupper
814638523311648768,12,10,12127,3000,Golden Retriever,
814530161257443328,12,10,9316,2052,Miniature Poodle,
814153002265309185,12,10,30947,9624,Golden Retriever,
813944609378369540,11,10,0,3549,Labrador Retriever,
813910438903693312,11,10,9983,2083,Siberian Husky,Doggo
813812741911748608,14,10,39089,15503,French Bulldog,
813800681631023104,12,10,8977,1951,Malamute,
813217897535406080,13,10,20106,8074,Samoyed,
813202720496779264,11,10,9871,1990,Cocker Spaniel,Doggo
813187593374461952,13,10,21349,4828,Golden Retriever,
813172488309972993,12,10,10039,2114,Golden Retriever,
813157409116065792,12,10,8342,2455,Pembroke,
813142292504645637,13,10,9056,2611,Beagle,
813127251579564032,11,10,12773,3459,Norwegian Elkhound,Doggo
813112105746448384,12,10,11134,3052,Pembroke,
813096984823349248,11,10,11324,3993,Great Dane,Doggo
813081950185472002,11,10,10627,3067,Doberman,
813066809284972545,12,10,8576,2149,Toy Terrier,
813051746834595840,13,10,22572,8117,Golden Retriever,
743609206067040256,10,10,4741,1490,Weimaraner,
743545585370791937,11,10,3729,1011,Standard Poodle,
743253157753532416,10,10,4483,1310,Malamute,Puppo
743222593470234624,12,10,6558,2054,Kuvasz,Pupper
743210557239623680,10,10,4058,1469,Golden Retriever,
742423170473463808,12,10,10411,4113,Pug,
742385895052087300,11,10,7187,2151,Cardigan,
741793263812808706,10,10,4822,1632,Kuvasz,
741743634094141440,11,10,8646,2989,Labrador Retriever,Pupper
741303864243200000,12,10,9268,3492,Chihuahua,
741067306818797568,12,10,9987,3332,Golden Retriever,Doggo & Pupper
740995100998766593,10,10,6767,2987,Malamute,
740676976021798912,11,10,19184,7349,Norwegian Elkhound,Pupper
740214038584557568,10,10,7079,2122,Chesapeake Bay Retriever,
739979191639244800,12,10,21090,6383,Irish Water Spaniel,
739932936087216128,10,10,4290,1164,Redbone,
739844404073074688,12,10,4003,918,Toy Poodle,
739544079319588864,10,10,41961,23116,Labrador Retriever,
739238157791694849,13,10,122299,62665,Eskimo Dog,Doggo
738885046782832640,11,10,3983,1230,American Staffordshire Terrier,
738883359779196928,10,10,3531,876,Labrador Retriever,
738537504001953792,11,10,5388,1686,Chow,Puppo
738402415918125056,10,10,3455,914,Cocker Spaniel,
738166403467907072,12,10,9303,3679,Keeshond,
738156290900254721,10,10,2680,709,Pug,
737826014890496000,10,10,5559,1903,Vizsla,
737800304142471168,10,10,10554,3732,Malamute,
737678689543020544,11,10,5326,1440,Pembroke,
737445876994609152,13,10,10892,4814,Samoyed,Floofer
736736130620620800,13,10,4567,1870,Schipperke,
736365877722001409,11,10,4213,1349,Toy Poodle,Pupper
736225175608430592,10,10,8590,2980,Labrador Retriever,
736010884653420544,10,10,8354,3210,Golden Retriever,
735991953473572864,11,10,3808,1234,Cocker Spaniel,
735648611367784448,12,10,4239,1180,Pembroke,Pupper
735635087207878657,11,10,6522,2543,Pug,
734912297295085568,10,10,2888,555,Maltese Dog,
734787690684657664,13,10,13261,6782,Golden Retriever,
734776360183431168,11,10,2643,583,Siberian Husky,
733828123016450049,10,10,3791,834,Beagle,
733822306246479872,10,10,3875,1083,Lhasa,Floofer
733482008106668032,10,10,3320,1023,French Bulldog,
733460102733135873,11,10,4443,1377,Chow,
733109485275860992,12,10,47101,17320,Golden Retriever,Doggo & Pupper
732732193018155009,12,10,2577,575,Staffordshire Bullterrier,
732726085725589504,11,10,3728,955,Pomeranian,
732585889486888962,10,10,3882,825,Staffordshire Bullterrier,
732375214819057664,11,10,8529,2714,Basset,Doggo
732005617171337216,11,10,15751,5875,English Setter,
731285275100512256,12,10,3676,1060,Pembroke,
730573383004487680,10,10,5189,2318,American Staffordshire Terrier,Pupper
730427201120833536,11,10,3652,1116,Eskimo Dog,
730211855403241472,11,10,4033,1136,Pug,
729823566028484608,13,10,4203,1329,Kelpie,
729463711119904772,13,10,6128,2476,German Shepherd,
728986383096946689,11,10,3336,880,Maltese Dog,
728760639972315136,13,10,4924,1830,Pembroke,
728751179681943552,10,10,2928,729,Saint Bernard,
728409960103686147,10,10,5185,2164,Saint Bernard,
728387165835677696,12,10,3868,1028,Collie,
728046963732717569,11,10,4538,1263,Newfoundland,
728035342121635841,12,10,4792,1792,Pomeranian,Pupper
728015554473250816,11,10,4314,1177,Cocker Spaniel,Pupper
727685679342333952,12,10,3099,687,Border Collie,
727644517743104000,13,10,6216,1879,Great Pyrenees,Doggo
727524757080539137,10,10,4707,1314,Pomeranian,Pupper
727314416056803329,11,10,3497,805,Toy Poodle,Pupper
727175381690781696,10,10,4082,1478,Flat Coated Retriever,
726935089318363137,12,10,7256,2634,Toy Poodle,
726887082820554753,10,10,4036,1618,Soft Coated Wheaten Terrier,
726828223124897792,12,10,3740,1084,Miniature Pinscher,
725842289046749185,12,10,7427,2846,Toy Poodle,
725786712245440512,11,10,4388,1459,Chow,Pupper
725729321944506368,12,10,5469,1913,Boxer,
724983749226668032,12,10,3897,1402,Golden Retriever,
724771698126512129,11,10,2494,689,German Short Haired Pointer,Doggo
724405726123311104,10,10,5584,1771,Golden Retriever,Pupper
724049859469295616,10,10,4554,1896,Border Collie,
724046343203856385,10,10,2808,597,Boxer,
724004602748780546,11,10,4407,1691,Pug,Pupper
723912936180330496,12,10,4095,1313,Samoyed,
723688335806480385,12,10,8124,3199,Chow,
723673163800948736,10,10,3182,957,Golden Retriever,
722613351520608256,12,10,5216,1755,Labrador Retriever,
721503162398597120,11,10,4899,2011,Pomeranian,
721001180231503872,11,10,2658,660,Samoyed,Pupper
720785406564900865,12,10,3281,832,Chihuahua,
720775346191278080,10,10,2608,732,Newfoundland,
720415127506415616,10,10,4338,1602,Rottweiler,
720389942216527872,11,10,6755,2706,Pembroke,
720043174954147842,11,10,5155,2155,Samoyed,
719991154352222208,10,10,5075,1875,Golden Retriever,Doggo
719551379208073216,10,10,5314,2077,Malamute,
719367763014393856,11,10,2937,794,Soft Coated Wheaten Terrier,
719339463458033665,10,10,4646,1344,Golden Retriever,
719332531645071360,11,10,3594,1029,Dandie Dinmont,
718971898235854848,10,10,3666,1179,Golden Retriever,
718939241951195136,12,10,5505,1886,Pembroke,
718631497683582976,10,10,19895,8675,Pomeranian,
718613305783398402,11,10,2566,519,Labrador Retriever,
718540630683709445,10,10,2621,1085,Maltese Dog,
718234618122661888,11,10,4074,1076,Malamute,
717841801130979328,11,10,2577,638,Brittany Spaniel,
717537687239008257,11,10,6053,1978,Golden Retriever,
717047459982213120,12,10,6594,2045,Golden Retriever,
717009362452090881,10,10,3447,1046,Siberian Husky,Pupper
716802964044845056,10,10,4496,1261,Malinois,
716791146589110272,11,10,5833,1488,Pomeranian,
716285507865542656,12,10,2925,1164,Yorkshire Terrier,
716080869887381504,11,10,5138,1869,Golden Retriever,Doggo
715928423106027520,11,10,3358,940,Pug,
715733265223708672,10,10,4918,1817,Dandie Dinmont,
715696743237730304,10,10,4111,1381,Staffordshire Bullterrier,
715680795826982913,12,10,4558,1740,Golden Retriever,
715342466308784130,10,10,3185,732,West Highland White Terrier,
715220193576927233,10,10,2543,701,Chihuahua,
715200624753819648,12,10,5395,2023,Chihuahua,
715009755312439296,12,10,4385,1326,Chihuahua,
714957620017307648,10,10,4354,1523,Great Pyrenees,
714606013974974464,12,10,3810,1001,Norfolk Terrier,
714258258790387713,10,10,3161,771,Collie,
714214115368108032,13,10,2389,941,Pug,
714141408463036416,10,10,4530,1500,Labrador Retriever,
713919462244790272,12,10,3451,834,Siberian Husky,
713761197720473600,12,10,5137,1482,Brittany Spaniel,
713411074226274305,11,10,4637,1385,Great Pyrenees,
713177543487135744,10,10,7580,3041,Whippet,
713175907180089344,10,10,4699,1562,Malamute,
712809025985978368,10,10,19588,7228,Labrador Retriever,
712717840512598017,10,10,13021,5375,Great Pyrenees,
712668654853337088,10,10,4381,1306,Labrador Retriever,
712438159032893441,11,10,5602,1682,Great Pyrenees,
712097430750289920,10,10,3997,1108,Labrador Retriever,
712085617388212225,11,10,3417,520,Shih Tzu,
711998809858043904,12,10,0,136,Kuvasz,
711743778164514816,11,10,2996,1061,Lakeland Terrier,
711732680602345472,10,10,9364,4427,Ibizan Hound,
711363825979756544,11,10,3852,1215,Pembroke,
711008018775851008,11,10,3155,666,French Bulldog,Pupper
710997087345876993,12,10,4799,1494,Malamute,
710844581445812225,10,10,2680,740,Pembroke,
710833117892898816,12,10,2832,580,Pembroke,
710588934686908417,12,10,4794,2017,Pembroke,
710283270106132480,11,10,2246,553,Shih Tzu,
710272297844797440,11,10,4767,1353,Old English Sheepdog,
710269109699739648,13,10,2533,1211,Pug,
710153181850935296,11,10,3065,962,Cocker Spaniel,
710117014656950272,11,10,5795,2135,Toy Poodle,Pupper
709918798883774466,12,10,3143,1147,Pembroke,
709852847387627521,12,10,3688,1282,Chihuahua,
709566166965075968,12,10,3735,1295,Chow,
709556954897764353,12,10,3459,1141,Golden Retriever,
709449600415961088,10,10,2347,635,Maltese Dog,
709225125749587968,11,10,2530,614,Labrador Retriever,
709207347839836162,11,10,13291,6271,Chihuahua,
709158332880297985,10,10,2156,449,Siberian Husky,
708834316713893888,10,10,1791,542,Eskimo Dog,
708810915978854401,10,10,17394,7478,Golden Retriever,
708738143638450176,11,10,2888,877,Pomeranian,
708711088997666817,11,10,2690,782,German Short Haired Pointer,
708479650088034305,13,10,2688,724,Shih Tzu,
708469915515297792,11,10,3250,883,Chihuahua,
708356463048204288,10,10,3820,1440,Pug,
708349470027751425,11,10,2478,791,Basenji,
708149363256774660,10,10,4506,1659,Cardigan,
708130923141795840,11,10,3571,900,French Bulldog,
708109389455101952,10,10,2033,581,Staffordshire Bullterrier,
708026248782585858,13,10,4604,2063,Malinois,
707969809498152960,11,10,2857,1044,Toy Poodle,
707776935007539200,11,10,3454,1018,Miniature Pinscher,
707741517457260545,10,10,2631,655,Whippet,
707610948723478529,12,10,17880,6905,Golden Retriever,
707411934438625280,11,10,2405,643,Lakeland Terrier,Pupper
